revelation_ref,canonical_source_refs,initial_relation,review_status,notes
Revelation 1:1,Daniel 2:28-29,candidate-reuse,awaiting-original-language-verification,
Revelation 1:4,Isaiah 11:2,candidate-reuse,awaiting-original-language-verification,
Revelation 1:5,Genesis 49:11; Psalm 89:27,candidate-reuse,awaiting-original-language-verification,
Revelation 1:6,Exodus 19:6; Isaiah 61:6,candidate-reuse,awaiting-original-language-verification,
Revelation 1:7,Daniel 7:13; Zechariah 12:10-14,candidate-reuse,awaiting-original-language-verification,
Revelation 1:8,Isaiah 41:4,candidate-reuse,awaiting-original-language-verification,
Revelation 1:12,Exodus 25:37; Exodus 37:23,candidate-reuse,awaiting-original-language-verification,
Revelation 1:13,"Daniel 7:13; Daniel 10:5,16",candidate-reuse,awaiting-original-language-verification,
Revelation 1:14,Daniel 7:9; Daniel 10:6,candidate-reuse,awaiting-original-language-verification,
Revelation 1:15,"Ezekiel 1:7,24; Ezekiel 43:2; Daniel 10:6",candidate-reuse,awaiting-original-language-verification,
Revelation 1:16,Judges 5:31; Isaiah 49:2,candidate-reuse,awaiting-original-language-verification,
Revelation 1:17,"Isaiah 41:4; Isaiah 44:6; Isaiah 48:12; Daniel 8:17-18; Daniel 10:9-10,12,15,19",candidate-reuse,awaiting-original-language-verification,
Revelation 1:18,Job 3:17; Hosea 13:14,candidate-reuse,awaiting-original-language-verification,
Revelation 2:4,Jeremiah 2:2,candidate-reuse,awaiting-original-language-verification,
Revelation 2:7,Genesis 2:9; Genesis 3:22-24; Proverbs 11:30; Proverbs 13:12; Ezekiel 31:8,candidate-reuse,awaiting-original-language-verification,
Revelation 2:12,Isaiah 49:2,candidate-reuse,awaiting-original-language-verification,
Revelation 2:14,Numbers 25:1-3,candidate-reuse,awaiting-original-language-verification,
Revelation 2:17,Exodus 16:33-34; Isaiah 62:2; Isaiah 65:15,candidate-reuse,awaiting-original-language-verification,
Revelation 2:18,Daniel 10:6,candidate-reuse,awaiting-original-language-verification,
Revelation 2:20,"1 Kings 16:31-32; 2 Kings 9:7,22",candidate-reuse,awaiting-original-language-verification,
Revelation 2:23,Psalm 7:9; Psalm 26:2; Psalm 28:4; Jeremiah 11:20; Jeremiah 17:10,candidate-reuse,awaiting-original-language-verification,
Revelation 2:27,Psalm 2:7-9; Isaiah 30:14; Jeremiah 19:11,candidate-reuse,awaiting-original-language-verification,
Revelation 3:4,Ecclesiastes 9:8,candidate-reuse,awaiting-original-language-verification,
Revelation 3:5,Exodus 32:32-33,candidate-reuse,awaiting-original-language-verification,
Revelation 3:7,Isaiah 22:22,candidate-reuse,awaiting-original-language-verification,
Revelation 3:9,Isaiah 43:4; Isaiah 49:23; Isaiah 60:14,candidate-reuse,awaiting-original-language-verification,
Revelation 3:12,Isaiah 62:2; Ezekiel 48:35,candidate-reuse,awaiting-original-language-verification,
Revelation 3:14,Genesis 49:3; Deuteronomy 21:17,candidate-reuse,awaiting-original-language-verification,
Revelation 3:18,Isaiah 55:1,candidate-reuse,awaiting-original-language-verification,
Revelation 3:19,Proverbs 3:12,candidate-reuse,awaiting-original-language-verification,
Revelation 4:1,Ezekiel 1:1,candidate-reuse,awaiting-original-language-verification,
Revelation 4:2,Isaiah 6:1; Ezekiel 1:26-28; Daniel 7:9,candidate-reuse,awaiting-original-language-verification,
